,,,,,,,,,,,,,,,,,,,▼リアルタイムの視聴数も含まれています,,,,▼リアルタイムの視聴数も含まれています,▼リアルタイムの視聴数も含まれています,,
,,,▼関数,,,,告知投稿（▼配信2日後の数値となります。）,,,,,,,,,,リアルタイム視聴,,"アーカイブ視聴
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,175,13,10/2,,,,"4,036","4,322",,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"1,999",13,"91,134",0,0,0,"8,566","9,179",,
,10月度,2024-10-3,(木),"試したのど飴は1万個！？
川畑要さんと共同開発 リラックスのど飴",・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,3205,6,,,,,,"10,024",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,213,96,,,,,,"4,368",,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"3,418",102,0,0,0,0,0,"14,392",,
,10月度,2024-10-11,(金),"コスメのようなパッケージにキュン♡
新発想の美容おやつ 「マツキヨ ボウドルチェ 」",・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,2911,0,,,,,,"7,018",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyococokara,,,,,1回（投稿）,,,,,,,169,5,,,,,,"2,996",,
,,,,,,,,,,2回（ストーリーズ）,,,,,,,,,,,,,,,,
,,,,,・Instagram @matsukiyo_official,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,0,0,#DIV/0!,0,0,0,"3,080",5,0,0,0,0,0,"10,014",,
,10月度,2024-10-21,(月),"大人気「リップモンスター」から待望の新商品！
KATE リップモンスター ツヤバースを徹底解剖",・X　　　　 @matsucoco_co,エリクシールなど,,,,1回目（投稿）,,,,,,,3171,4,,,,,,"7,172",https://www.matsukiyococokara-online.com/special_lp/MatsukiyoCocokaraLive/,
,,,,,,,,,,2回目（投稿）,,,,,,,,,,,,,,,,
